"District Judge, 400th Judicial District (Vote For 1)",,,,,,,,,,
,,REP Edward M. Krenek,,,,DEM Tameika Carter,,,,
Precinct,Registered Voters,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Total
3166,0,0,0,0,0,0,0,0,0,0
3168,452,21,1,110,132,25,0,118,143,275
3169,772,46,2,128,176,68,1,168,237,413
3172,1887,105,7,289,401,119,12,368,499,900
3174,1793,66,8,350,424,84,18,457,559,983
3175,1457,36,5,209,250,62,15,360,437,687
4001,3020,112,40,919,1071,95,36,608,739,1810
4002,726,29,0,59,88,70,9,185,264,352
4012,2853,179,35,532,746,131,42,332,505,1251
4015,1674,122,5,651,778,53,3,148,204,982
4024,566,28,2,260,290,14,2,58,74,364
4025,6536,381,27,1655,2063,372,31,1230,1633,3696
4026,3091,112,31,963,1106,98,39,747,884,1990
4032,1338,51,3,194,248,76,12,328,416,664
4037,3017,178,34,638,850,126,26,405,557,1407
4039,1030,43,4,220,267,57,18,242,317,584
4040,3111,94,5,263,362,165,34,501,700,1062
4048,2168,74,15,261,350,111,12,328,451,801
4066,5007,152,1,615,768,276,42,1326,1644,2412
4067,3521,173,13,644,830,214,38,953,1205,2035
4069,6043,277,17,1198,1492,354,28,1664,2046,3538
4072,115,7,2,42,51,3,1,10,14,65
4073,1355,57,19,441,517,48,5,177,230,747
4074,4643,185,16,928,1129,230,51,1101,1382,2511
4076,3155,131,16,656,803,159,40,859,1058,1861
4082,7779,397,50,2533,2980,326,52,1700,2078,5058
4083,5849,257,13,1086,1356,324,55,1593,1972,3328
4095,5727,228,19,1604,1851,232,19,1522,1773,3624
4099,3808,136,9,660,805,193,38,830,1061,1866
4100,3050,107,17,457,581,178,37,647,862,1443
4101,4054,166,9,453,628,255,41,880,1176,1804
4106,7774,339,5,1111,1455,539,42,2185,2766,4221
4113,8249,339,9,978,1326,592,57,2152,2801,4127
4117,2111,93,4,457,554,133,17,559,709,1263
4124,3727,192,15,769,976,233,28,803,1064,2040
4141,5010,172,94,1693,1959,161,88,1320,1569,3528
4150,7895,358,28,1298,1684,427,66,2214,2707,4391
4154,5355,223,24,1119,1366,284,35,1340,1659,3025
4162,821,53,2,297,352,24,2,74,100,452
4163,1432,83,4,181,268,107,22,393,522,790
4164,1462,108,10,291,409,119,8,326,453,862
4167,3,0,0,2,2,0,0,0,0,2
4170,694,49,1,115,165,55,4,193,252,417
4173,1261,55,2,231,288,68,10,273,351,639
Total:,558362,23214,3047,144229,170490,24869,5399,135303,165571,336061
