"District Judge, 387th Judicial District (Vote For 1)",,,,,,
,,DEM Oscar Telfair III,,,,
Precinct,Registered Voters,Election Day,Absentee,Early Voting,Total Votes,Total
4099,3808,213,38,929,1180,1180
4100,3050,200,40,717,957,957
4101,4054,295,41,955,1291,1291
4106,7774,606,43,2362,3011,3011
4113,8249,659,57,2332,3048,3048
4117,2111,155,17,628,800,800
4124,3727,287,33,947,1267,1267
4141,5010,197,101,1568,1866,1866
4150,7895,513,73,2359,2945,2945
4154,5355,331,40,1551,1922,1922
4162,821,32,3,121,156,156
4163,1432,120,22,426,568,568
4164,1462,146,9,370,525,525
4167,3,0,0,0,0,0
4170,694,78,4,224,306,306
4173,1261,83,12,293,388,388
Total:,558362,30418,5926,157885,194229,194229
