slider-titles	rep	col	col-auto	rep 2	col 2	col-auto 2
JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 2	R	JESSICA LEWIS	774,830	D	ROBBIE PARTIDA-KIPNESS	727,750
JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 5	R	CYNTHIA BARBARE	760,887	D	ERIN A. NOWELL	741,875
JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 9	R	MATTHEW J. KOLODOSKI	753,185	D	TINA CLINTON	749,412
JUSTICE, 6TH COURT OF APPEALS DISTRICT, PLACE 2	R	JEFF RAMBIN	278,292			
JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 2	R	JUDY PARKER	271,295			
JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 3	R	ALEX YARBROUGH	268,873			
JUSTICE, 8TH COURT OF APPEALS DISTRICT, PLACE 2	D	LISA SOTO	174,254			
JUSTICE, 8TH COURT OF APPEALS DISTRICT, PLACE 3	D	GINA M. PALAFOX	173,295			
JUSTICE, 9TH COURT OF APPEALS DISTRICT, PLACE 3	R	LEANNE JOHNSON	436,543			
JUSTICE, 9TH COURT OF APPEALS DISTRICT, PLACE 4	R	KENT CHAMBERS	432,207			
JUSTICE, 12TH COURT OF APPEALS DISTRICT, PLACE 3	R	GREG NEELEY	341,944			
JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 2	R	JENNY CRON	319,258	D	NORA LONGORIA	277,807
JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 4	R	YSMAEL D. FONSECA	327,877	D	JOE MARTINEZ	264,697
JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 5	R	JON WEST	343,086	D	REGI COMPIAN RICHARDSON	247,249
JUSTICE, 14TH COURT OF APPEALS DISTRICT, PLACE 3	R	CHAD BRIDGES	1,196,441	D	VELDA RENITA FAULKNER	1,014,875
JUSTICE, 14TH COURT OF APPEALS DISTRICT, PLACE 4	R	TONYA MCLAUGHLIN	1,182,764	D	CHARLES SPAIN	1,025,826
JUSTICE, 14TH COURT OF APPEALS DISTRICT, PLACE 5	R	MARITZA MICHELE ANTÚ	1,169,105	D	FRANCES BOURLIOT	1,034,057
JUSTICE, 14TH COURT OF APPEALS DISTRICT, PLACE 6	R	KATY BOATMAN	1,173,419	D	MEAGAN HASSAN	1,032,713
JUSTICE, 14TH COURT OF APPEALS DISTRICT, PLACE 8	R	BRAD HART	1,167,189	D	MARGARET 'MEG' POISSANT	1,036,560
DISTRICT JUDGE, 1ST JUDICIAL DISTRICT	R	CRAIG M. MIXSON	25,421			
DISTRICT JUDGE, 2ND JUDICIAL DISTRICT	R	CHRIS DAY	17,382			
DISTRICT JUDGE, 3RD JUDICIAL DISTRICT	R	MARK A. CALHOON	55,527			
DISTRICT JUDGE, 4TH JUDICIAL DISTRICT	R	DAVID HILL	17,498			
DISTRICT JUDGE, 5TH JUDICIAL DISTRICT	R	BILL MILLER	40,401			
DISTRICT JUDGE, 6TH JUDICIAL DISTRICT	R	R. WESLEY TIDWELL	22,184			
DISTRICT JUDGE, 7TH JUDICIAL DISTRICT	R	KERRY L. RUSSELL	79,916			
DISTRICT JUDGE, 8TH JUDICIAL DISTRICT	R	EDDIE NORTHCUTT	27,384			
DISTRICT JUDGE, 9TH JUDICIAL DISTRICT	R	PHIL GRANT	246,338			
DISTRICT JUDGE, 10TH JUDICIAL DISTRICT	R	REBECCA MILLO	117,836			
DISTRICT JUDGE, 11TH JUDICIAL DISTRICT	D	KRISTEN HAWKINS	751,297	R	NILE BAILEY COPELAND	706,148
DISTRICT JUDGE, 12TH JUDICIAL DISTRICT	R	DAVID WAYNE MOORMAN	36,007			
DISTRICT JUDGE, 13TH JUDICIAL DISTRICT	R	JAMES E. LAGOMARSINO	17,631			
DISTRICT JUDGE, 14TH JUDICIAL DISTRICT	D	ERIC V. MOYÉ	476,144	R	LEAH FELDHENDLER	315,572
DISTRICT JUDGE, 15TH JUDICIAL DISTRICT	R	JIM FALLON	53,805			
DISTRICT JUDGE, 16TH JUDICIAL DISTRICT	R	SHERRY SHIPMAN	284,566			
DISTRICT JUDGE, 17TH JUDICIAL DISTRICT	R	MELODY WILKINSON	528,571			
DISTRICT JUDGE, 18TH JUDICIAL DISTRICT	R	SYDNEY B. HEWLETT	67,909			
DISTRICT JUDGE, 19TH JUDICIAL DISTRICT	R	THOMAS WEST	65,043	D	BARRY JOHNSON	31,006
DISTRICT JUDGE, 20TH JUDICIAL DISTRICT	R	JOHN W. YOUNGBLOOD	9,393			
DISTRICT JUDGE, 21ST JUDICIAL DISTRICT	R	CARSON CAMPBELL	56,015			
DISTRICT JUDGE, 22ND JUDICIAL DISTRICT	R	R. BRUCE BOYER	172,225			
DISTRICT JUDGE, 23RD JUDICIAL DISTRICT	R	JOHN MAHER	24,058			
DISTRICT JUDGE, 24TH JUDICIAL DISTRICT	R	LISA HARVEY MOORE	52,145			
DISTRICT JUDGE, 25TH JUDICIAL DISTRICT	R	BILL OLD	93,599			
DISTRICT JUDGE, 2ND 25TH JUDICIAL DISTRICT	R	JESSICA RICHARD CRAWFORD	84,992			
DISTRICT JUDGE, 26TH JUDICIAL DISTRICT	R	DONNA KING	173,310			
DISTRICT JUDGE, 27TH JUDICIAL DISTRICT	R	DEBBIE GARRETT	98,122			
DISTRICT JUDGE, 28TH JUDICIAL DISTRICT	R	MICHAEL MCCAULEY	63,206	D	CARLOS VALDEZ	52,726
DISTRICT JUDGE, 29TH JUDICIAL DISTRICT	R	MICHAEL MOORE	11,367			
DISTRICT JUDGE, 32ND JUDICIAL DISTRICT	R	GLEN HARRISON	7,874			
DISTRICT JUDGE, 33RD JUDICIAL DISTRICT	R	ALLAN GARRETT	42,944			
DISTRICT JUDGE, 34TH JUDICIAL DISTRICT	D	BILL MOODY	156,749			
DISTRICT JUDGE, 35TH JUDICIAL DISTRICT	R	MIKE SMITH	17,335			
DISTRICT JUDGE, 37TH JUDICIAL DISTRICT	D	NICOLE GARZA	442,639			
DISTRICT JUDGE, 38TH JUDICIAL DISTRICT	R	KELLEY T. KIMBLE	8,998			
DISTRICT JUDGE, 41ST JUDICIAL DISTRICT	D	"ANNABELL ""ANNA"" PEREZ"	155,066			
DISTRICT JUDGE, 42ND JUDICIAL DISTRICT	R	ARIMY BEASLEY	55,956			
DISTRICT JUDGE, 43RD JUDICIAL DISTRICT	R	S. CRAIG TOWSON	78,338			
DISTRICT JUDGE, 48TH JUDICIAL DISTRICT	R	CHRISTOPHER TAYLOR	524,893			
DISTRICT JUDGE, 50TH JUDICIAL DISTRICT	R	JENNIFER A. HABERT	3,152			
DISTRICT JUDGE, 51ST JUDICIAL DISTRICT	R	CARMEN SYMES DUSEK	40,304			
DISTRICT JUDGE, 52ND JUDICIAL DISTRICT	R	TRENT D.  FARRELL	18,810			
DISTRICT JUDGE, 53RD JUDICIAL DISTRICT	D	MARIA CANTÚ HEXSEL	400,125			
DISTRICT JUDGE, 56TH JUDICIAL DISTRICT	R	LONNIE COX	117,495			
DISTRICT JUDGE, 57TH JUDICIAL DISTRICT	D	"ANTONIA ""TONI"" ARTEAGA"	433,373			
DISTRICT JUDGE, 59TH JUDICIAL DISTRICT	R	LARRY PHILLIPS	53,014			
DISTRICT JUDGE, 60TH JUDICIAL DISTRICT	D	JUSTIN GARY SANDERSON	46,832			
DISTRICT JUDGE, 61ST JUDICIAL DISTRICT	R	LEE KATHRYN SHUCHART	735,889	D	FREDERICKA PHILLIPS	716,906
DISTRICT JUDGE, 62ND JUDICIAL DISTRICT	R	WILL BIARD	38,617			
DISTRICT JUDGE, 63RD JUDICIAL DISTRICT	R	ROLAND ANDRADE	11,862			
DISTRICT JUDGE, 65TH JUDICIAL DISTRICT	D	SELINA SAENZ	154,513			
DISTRICT JUDGE, 67TH JUDICIAL DISTRICT	R	DON COSBY	522,805			
DISTRICT JUDGE, 71ST JUDICIAL DISTRICT	R	BRAD MORIN	24,442			
DISTRICT JUDGE, 72ND JUDICIAL DISTRICT	R	JOHN GRACE	96,703			
DISTRICT JUDGE, 73RD JUDICIAL DISTRICT	D	ELIZABETH MARTINEZ	434,315			
DISTRICT JUDGE, 74TH JUDICIAL DISTRICT	R	GARY COLEY JR	76,709			
DISTRICT JUDGE, 76TH JUDICIAL DISTRICT	R	ANGELA SAUCIER	16,298			
DISTRICT JUDGE, 77TH JUDICIAL DISTRICT	R	ROY DEFRIEND	14,964			
DISTRICT JUDGE, 78TH JUDICIAL DISTRICT	R	MEREDITH KENNEDY	34,086			
DISTRICT JUDGE, 79TH JUDICIAL DISTRICT	D	MICHAEL VENTURA GARCIA	9,936			
DISTRICT JUDGE, 80TH JUDICIAL DISTRICT	R	SONYA L. ASTON	727,502	D	JERALYNN MANOR	723,295
DISTRICT JUDGE, 84TH JUDICIAL DISTRICT	R	CURT W. BRANCHEAU	11,477			
DISTRICT JUDGE, 88TH JUDICIAL DISTRICT	R	EARL B. STOVER III	32,890			
DISTRICT JUDGE, 89TH JUDICIAL DISTRICT	R	DOBIE KOSUB	33,913			
DISTRICT JUDGE, 90TH JUDICIAL DISTRICT	R	PHILLIP C. GREGORY	10,600			
DISTRICT JUDGE, 91ST JUDICIAL DISTRICT	R	STEVEN R. HEROD	7,509			
DISTRICT JUDGE, 92ND JUDICIAL DISTRICT	D	LUIS M. SINGLETERRY	153,667			
DISTRICT JUDGE, 93RD JUDICIAL DISTRICT	D	FERNANDO MANCIAS	152,480			
DISTRICT JUDGE, 95TH JUDICIAL DISTRICT	D	MONICA PURDY	600,463			
DISTRICT JUDGE, 96TH JUDICIAL DISTRICT	R	PAT GALLAGHER	522,119			
DISTRICT JUDGE, 97TH JUDICIAL DISTRICT	R	TRISH COLEMAN BYARS	19,401			
DISTRICT JUDGE, 98TH JUDICIAL DISTRICT	D	SANDRA AVILA RAMIREZ	400,826			
DISTRICT JUDGE, 99TH JUDICIAL DISTRICT	R	PHILLIP HAYS	95,210			
DISTRICT JUDGE, 100TH JUDICIAL DISTRICT	R	DALE A. RABE JR	8,177			
DISTRICT JUDGE, 104TH JUDICIAL DISTRICT	R	JEFF PROPST	46,154			
DISTRICT JUDGE, 108TH JUDICIAL DISTRICT	R	TIM PIRTLE	25,534			
DISTRICT JUDGE, 114TH JUDICIAL DISTRICT	R	AUSTIN REEVE JACKSON	79,823			
DISTRICT JUDGE, 119TH JUDICIAL DISTRICT	R	GONZALO P. RIOS JR	40,983			
DISTRICT JUDGE, 121ST JUDICIAL DISTRICT	R	"JOHN A. ""TREY"" DIDWAY"	4,785			
DISTRICT JUDGE, 123RD JUDICIAL DISTRICT	R	LEANN KAY RAFFERTY	17,505			
DISTRICT JUDGE, 124TH JUDICIAL DISTRICT	R	ALFONSO CHARLES	36,528			
DISTRICT JUDGE, 125TH JUDICIAL DISTRICT	D	KYLE CARTER	933,539			
DISTRICT JUDGE, 126TH JUDICIAL DISTRICT	D	AURORA MARTINEZ JONES	400,336			
DISTRICT JUDGE, 127TH JUDICIAL DISTRICT	D	DENISE BROWN	914,606			
DISTRICT JUDGE, 128TH JUDICIAL DISTRICT	R	COURTNEY BURCH ARKEEN	30,692			
DISTRICT JUDGE, 129TH JUDICIAL DISTRICT	D	MICHAEL GOMEZ	747,041	R	WILL ARCHER	705,677
DISTRICT JUDGE, 130TH JUDICIAL DISTRICT	R	DENISE M. FORTENBERRY	10,743			
DISTRICT JUDGE, 131ST JUDICIAL DISTRICT	D	NORMA GONZALES	426,774			
DISTRICT JUDGE, 132ND JUDICIAL DISTRICT	R	DANA W. COOLEY	5,229			
DISTRICT JUDGE, 133RD JUDICIAL DISTRICT	R	MICHAEL LANDRUM	724,727	D	NICOLE PERDUE	722,345
DISTRICT JUDGE, 135TH JUDICIAL DISTRICT	R	KEMPER STEPHEN WILLIAMS	47,719			
DISTRICT JUDGE, 136TH JUDICIAL DISTRICT	D	BAYLOR WORTHAM	46,923			
DISTRICT JUDGE, 138TH JUDICIAL DISTRICT	D	GABRIELA GABBY GARCIA	79,383			
DISTRICT JUDGE, 139TH JUDICIAL DISTRICT	D	"J. R. ""BOBBY"" FLORES"	152,057			
DISTRICT JUDGE, 140TH JUDICIAL DISTRICT	R	DOUGLAS H. FREITAG	94,836			
DISTRICT JUDGE, 142ND JUDICIAL DISTRICT	R	DAVID GLENN ROGERS	48,438			
DISTRICT JUDGE, 143RD JUDICIAL DISTRICT	R	ALAN J. NICHOLAS	4,936			
DISTRICT JUDGE, 145TH JUDICIAL DISTRICT	R	JEFF DAVIS	18,227			
DISTRICT JUDGE, 146TH JUDICIAL DISTRICT	R	MIKE RUSSELL	87,042			
DISTRICT JUDGE, 151ST JUDICIAL DISTRICT	D	ERICA HUGHES	909,213			
DISTRICT JUDGE, 152ND JUDICIAL DISTRICT	D	TAKASHA FRANCIS	896,212			
DISTRICT JUDGE, 153RD JUDICIAL DISTRICT	R	SUSAN MCCOY	523,394			
DISTRICT JUDGE, 161ST JUDICIAL DISTRICT	R	JUSTIN WAYNE LOW	35,347			
DISTRICT JUDGE, 162ND JUDICIAL DISTRICT	D	KIM BAILEY	479,199	R	ASHLEY WYSOCKI	312,800
DISTRICT JUDGE, 163RD JUDICIAL DISTRICT	R	REX WAYNE PEVETO	30,955			
DISTRICT JUDGE, 164TH JUDICIAL DISTRICT	D	CHERYL ELLIOTT THORNTON	729,416	R	AARON GABRIEL ADAMS	715,627
DISTRICT JUDGE, 165TH JUDICIAL DISTRICT	R	BRUCE BAIN	734,582	D	URSULA A. HALL	709,055
DISTRICT JUDGE, 166TH JUDICIAL DISTRICT	D	LAURA SALINAS	426,356			
DISTRICT JUDGE, 167TH JUDICIAL DISTRICT	D	DAYNA BLAZEY	399,796			
DISTRICT JUDGE, 174TH JUDICIAL DISTRICT	D	HAZEL B. JONES	895,087			
DISTRICT JUDGE, 175TH JUDICIAL DISTRICT	D	CATHERINE TORRES-STAHL	423,673			
DISTRICT JUDGE, 176TH JUDICIAL DISTRICT	D	"NIKITA ""NIKI"" HARMON"	887,470			
DISTRICT JUDGE, 177TH JUDICIAL DISTRICT	R	EMILY MUNOZ DETOTO	724,923	D	ROBERT JOHNSON	716,367
DISTRICT JUDGE, 178TH JUDICIAL DISTRICT	D	KELLI JOHNSON	888,921			
DISTRICT JUDGE, 179TH JUDICIAL DISTRICT	D	ANA MARTINEZ	890,016			
DISTRICT JUDGE, 199TH JUDICIAL DISTRICT	R	ANGELA TUCKER	316,970			
DISTRICT JUDGE, 200TH JUDICIAL DISTRICT	D	JESSICA MANGRUM	400,167			
DISTRICT JUDGE, 202ND JUDICIAL DISTRICT	R	JOHN TIDWELL	28,683			
DISTRICT JUDGE, 213TH JUDICIAL DISTRICT	R	CHRIS WOLFE	420,645	D	CINDY STORMER	364,349
DISTRICT JUDGE, 214TH JUDICIAL DISTRICT	R	INNA KLEIN	66,874	D	RENE C FLORES	48,397
DISTRICT JUDGE, 215TH JUDICIAL DISTRICT	R	NATHAN J. MILLIRON	721,861	D	ELAINE PALMER	718,401
DISTRICT JUDGE, 216TH JUDICIAL DISTRICT	R	"ALBERT ""PAT"" D. PATTILLO III"	36,511			
DISTRICT JUDGE, 235TH JUDICIAL DISTRICT	R	JANELLE M. HAVERKAMP	16,363	D	EMMANUEL ALBARADO	2,924
DISTRICT JUDGE, 272ND JUDICIAL DISTRICT	R	JOHN BRICK	64,022			
DISTRICT JUDGE, 332ND JUDICIAL DISTRICT	D	JUAN RAMÓN ÁLVAREZ	149,643			
DISTRICT JUDGE, 333RD JUDICIAL DISTRICT	D	TRACY D. GOOD	720,827	R	BRIAN STALEY	716,387
DISTRICT JUDGE, 334TH JUDICIAL DISTRICT	D	DAWN ROGERS	883,640			
DISTRICT JUDGE, 335TH JUDICIAL DISTRICT	R	JOHN D. WINKELMANN	55,717			
DISTRICT JUDGE, 336TH JUDICIAL DISTRICT	R	CHRISTINA TILLETT	14,192			
DISTRICT JUDGE, 337TH JUDICIAL DISTRICT	D	COLLEEN GAIDO	878,178			
DISTRICT JUDGE, 338TH JUDICIAL DISTRICT	R	MICHELE ONCKEN	722,894	D	ALLISON JACKSON MATHIS	715,078
DISTRICT JUDGE, 339TH JUDICIAL DISTRICT	D	TE'IVA BELL	874,299			
DISTRICT JUDGE, 340TH JUDICIAL DISTRICT	R	JAY K. WEATHERBY	36,881			
DISTRICT JUDGE, 341ST JUDICIAL DISTRICT	D	BECKIE PALOMO	49,781			
DISTRICT JUDGE, 342ND JUDICIAL DISTRICT	R	KIMBERLY FITZPATRICK	522,742			
DISTRICT JUDGE, 343RD JUDICIAL DISTRICT	R	JANNA K. WHATLEY	41,942			
DISTRICT JUDGE, 344TH JUDICIAL DISTRICT	R	RANDY MCDONALD	21,842			
DISTRICT JUDGE, 345TH JUDICIAL DISTRICT	D	JAN SOIFER	399,212			
DISTRICT JUDGE, 346TH JUDICIAL DISTRICT	D	PATY BACA	154,404			
DISTRICT JUDGE, 347TH JUDICIAL DISTRICT	R	MISSY MEDARY	88,521			
DISTRICT JUDGE, 348TH JUDICIAL DISTRICT	R	MEGAN FAHEY	520,179			
DISTRICT JUDGE, 349TH JUDICIAL DISTRICT	R	PAM FOSTER FLETCHER	23,732			
DISTRICT JUDGE, 350TH JUDICIAL DISTRICT	R	THOMAS WHEELER	46,081			
DISTRICT JUDGE, 351ST JUDICIAL DISTRICT	D	"NATALIA ""NATA"" CORNELIO"	875,974			
DISTRICT JUDGE, 352ND JUDICIAL DISTRICT	R	JOSH BURGESS	518,907			
DISTRICT JUDGE, 353RD JUDICIAL DISTRICT	D	SHERINE THOMAS	394,645			
DISTRICT JUDGE, 354TH JUDICIAL DISTRICT	R	KELI M. AIKEN	41,957			
DISTRICT JUDGE, 356TH JUDICIAL DISTRICT	R	STEVE THOMAS	24,872			
DISTRICT JUDGE, 360TH JUDICIAL DISTRICT	R	PATRICIA BACA BENNETT	521,509			
DISTRICT JUDGE, 362ND JUDICIAL DISTRICT	R	BRUCE MCFARLING	282,156			
DISTRICT JUDGE, 378TH JUDICIAL DISTRICT	R	"WILLIAM ""DOUG"" WALLACE"	68,842			
DISTRICT JUDGE, 379TH JUDICIAL DISTRICT	D	RON RANGEL	427,018			
DISTRICT JUDGE, 380TH JUDICIAL DISTRICT	R	BEN SMITH	311,345			
DISTRICT JUDGE, 381ST JUDICIAL DISTRICT	D	JOSE LUIS GARZA	9,352			
DISTRICT JUDGE, 382ND JUDICIAL DISTRICT	R	BRETT HALL	53,326			
DISTRICT JUDGE, 383RD JUDICIAL DISTRICT	D	LYDA NESS GARCIA	152,937			
DISTRICT JUDGE, 384TH JUDICIAL DISTRICT	D	PATRICK M. GARCIA	154,228			
DISTRICT JUDGE, 386TH JUDICIAL DISTRICT	D	"JACQUELINE ""JACKIE"" VALDES"	424,031			
DISTRICT JUDGE, 387TH JUDICIAL DISTRICT	D	OSCAR TELFAIR III	194,229			
DISTRICT JUDGE, 388TH JUDICIAL DISTRICT	D	MARLENE GONZÁLEZ	154,047			
DISTRICT JUDGE, 389TH JUDICIAL DISTRICT	D	"LETICIA ""LETTY"" LÓPEZ"	150,259			
DISTRICT JUDGE, 390TH JUDICIAL DISTRICT	D	JULIE H. KOCUREK	398,629			
DISTRICT JUDGE, 391ST JUDICIAL DISTRICT	R	BRAD GOODWIN	36,407			
DISTRICT JUDGE, 392ND JUDICIAL DISTRICT	R	R. SCOTT MCKEE	32,139			
DISTRICT JUDGE, 393RD JUDICIAL DISTRICT	R	KAREN ALEXANDER	282,139			
DISTRICT JUDGE, 394TH JUDICIAL DISTRICT	R	MONTY KIMBALL	5,786			
DISTRICT JUDGE, 395TH JUDICIAL DISTRICT	R	RYAN LARSON	169,072			
DISTRICT JUDGE, 396TH JUDICIAL DISTRICT	R	"VINCENT ""VINCE"" GIARDINO"	517,578			
DISTRICT JUDGE, 398TH JUDICIAL DISTRICT	D	KENO VÁSQUEZ	147,371			
DISTRICT JUDGE, 399TH JUDICIAL DISTRICT	D	FRANK  J. CASTRO	426,239			
DISTRICT JUDGE, 400TH JUDICIAL DISTRICT	R	EDWARD M. KRENEK	170,490	D	TAMEIKA CARTER	165,571
DISTRICT JUDGE, 401ST JUDICIAL DISTRICT	R	KIM LASETER	311,780			
DISTRICT JUDGE, 402ND JUDICIAL DISTRICT	R	J. BRAD MCCAMPBELL	20,896			
DISTRICT JUDGE, 404TH JUDICIAL DISTRICT	D	RICARDO M. ADOBBATI	78,946			
DISTRICT JUDGE, 405TH JUDICIAL DISTRICT	R	JARED S. ROBINSON	116,379			
DISTRICT JUDGE, 406TH JUDICIAL DISTRICT	D	DAVID E. GARCIA	47,366			
DISTRICT JUDGE, 407TH JUDICIAL DISTRICT	D	TINA TORRES	422,325			
DISTRICT JUDGE, 408TH JUDICIAL DISTRICT	D	ANGELICA JIMENEZ	423,671			
DISTRICT JUDGE, 409TH JUDICIAL DISTRICT	D	SAM MEDRANO JR	154,440			
DISTRICT JUDGE, 410TH JUDICIAL DISTRICT	R	JENNIFER JAMES ROBIN	245,631			
DISTRICT JUDGE, 411TH JUDICIAL DISTRICT	R	JOHN WELLS	36,911			
DISTRICT JUDGE, 413TH JUDICIAL DISTRICT	R	BILL BOSWORTH	63,358			
DISTRICT JUDGE, 414TH JUDICIAL DISTRICT - UNEXPIRED TERM	R	RYAN LUNA	76,343			
DISTRICT JUDGE, 415TH JUDICIAL DISTRICT	R	GRAHAM QUISENBERRY	77,872			
DISTRICT JUDGE, 416TH JUDICIAL DISTRICT	R	ANDREA STROH THOMPSON	309,591			
DISTRICT JUDGE, 418TH JUDICIAL DISTRICT	R	TRACY A. GILBERT	244,564			
DISTRICT JUDGE, 420TH JUDICIAL DISTRICT	R	MALCOLM BALES	17,758			
DISTRICT JUDGE, 421ST JUDICIAL DISTRICT	R	AMANDA MONTGOMERY	9,773			
DISTRICT JUDGE, 422ND JUDICIAL DISTRICT	R	SHELTON T.W. GIBBS IV	51,244			
DISTRICT JUDGE, 423RD JUDICIAL DISTRICT	D	CHRIS DUGGAN	22,876			
DISTRICT JUDGE, 425TH JUDICIAL DISTRICT	R	BETSY FIGER LAMBETH	171,151			
DISTRICT JUDGE, 426TH JUDICIAL DISTRICT	R	STEVEN J. DUSKIE	87,120			
DISTRICT JUDGE, 427TH JUDICIAL DISTRICT	D	TAMARA B. NEEDLES	393,758			
DISTRICT JUDGE, 430TH JUDICIAL DISTRICT	D	"ORLANDO ""OJ"" ESQUIVEL"	146,317			
DISTRICT JUDGE, 431ST JUDICIAL DISTRICT	R	JIM JOHNSON	280,728			
DISTRICT JUDGE, 433RD JUDICIAL DISTRICT	R	DIB WALDRIP	82,489			
DISTRICT JUDGE, 434TH JUDICIAL DISTRICT	D	CHRISTIAN BECERRA	195,117			
DISTRICT JUDGE, 435TH JUDICIAL DISTRICT	R	PATTY MAGINNIS	244,020			
DISTRICT JUDGE, 438TH JUDICIAL DISTRICT	D	ROSIE ALVARADO	422,680			
DISTRICT JUDGE, 439TH JUDICIAL DISTRICT	R	DAVID E. RAKOW	53,063			
DISTRICT JUDGE, 442ND JUDICIAL DISTRICT	R	TIFFANY L. HAERTLING	281,820			
DISTRICT JUDGE, 443RD JUDICIAL DISTRICT	R	GRACE PANDITHURAI	68,939			
DISTRICT JUDGE, 444TH JUDICIAL DISTRICT	D	DAVID A. SANCHEZ	79,022			
DISTRICT JUDGE, 445TH JUDICIAL DISTRICT	D	GLORIA M. RINCONES	78,596			
DISTRICT JUDGE, 446TH JUDICIAL DISTRICT	R	SARA KATE BILLINGSLEY	35,358			
DISTRICT JUDGE, 448TH JUDICIAL DISTRICT	D	SERGIO H. ENRIQUEZ	153,473			
DISTRICT JUDGE, 449TH JUDICIAL DISTRICT	D	"RENEE ""RENA"" RODRÍGUEZ-BETANCOURT"	147,017			
DISTRICT JUDGE, 450TH JUDICIAL DISTRICT	D	BRAD URRUTIA	393,354			
DISTRICT JUDGE, 453RD JUDICIAL DISTRICT	D	SHERRI K.  TIBBE	76,319			
DISTRICT JUDGE, 454TH JUDICIAL DISTRICT	R	DANIEL KINDRED	19,471			
DISTRICT JUDGE, 457TH JUDICIAL DISTRICT	R	VINCE SANTINI	243,284			
DISTRICT JUDGE, 460TH JUDICIAL DISTRICT	D	SELENA ALVARENGA	393,535			
DISTRICT JUDGE, 461ST JUDICIAL DISTRICT	R	PATRICK BULANEK	118,103			
DISTRICT JUDGE, 462ND JUDICIAL DISTRICT	R	LEE ANN BREADING	280,392			
DISTRICT JUDGE, 464TH JUDICIAL DISTRICT	D	JOE RAMÍREZ	145,923			
DISTRICT JUDGE, 465TH JUDICIAL DISTRICT	R	ELIZABETH BEYER	26,212			
DISTRICT JUDGE, 468TH JUDICIAL DISTRICT	R	LINDSEY WYNNE	310,209			
DISTRICT JUDGE, 469TH JUDICIAL DISTRICT	R	PIPER MCCRAW	309,764			
DISTRICT JUDGE, 470TH JUDICIAL DISTRICT	R	BROOK FULKS	309,096			
DISTRICT JUDGE, 471ST JUDICIAL DISTRICT	R	ANDREA BOURESSA	309,710			
DISTRICT JUDGE, 472ND JUDICIAL DISTRICT	R	JERRELL WISE	63,184			
DISTRICT JUDGE, 474TH JUDICIAL DISTRICT	R	ALAN BENNETT	76,301			
DISTRICT JUDGE, 475TH JUDICIAL DISTRICT	R	TAYLOR HEATON	79,619			
DISTRICT JUDGE, 476TH JUDICIAL DISTRICT	D	NEREIDA LÓPEZ-SINGLETERRY	147,793			
DISTRICT JUDGE, 480TH JUDICIAL DISTRICT	R	SCOTT K. FIELD	168,622			
DISTRICT JUDGE, 483RD JUDICIAL DISTRICT	D	ALICIA KEY	62,414	R	TANNER NEIDHARDT	56,380
DISTRICT JUDGE, 486TH JUDICIAL DISTRICT	R	AARON BURDETTE	725,956	D	VIVIAN KING	710,815
DISTRICT JUDGE, 487TH JUDICIAL DISTRICT	D	STACY ALLEN BARROW	720,630	R	LORI DEANGELO	712,719
DISTRICT JUDGE, 488TH JUDICIAL DISTRICT	R	MATTHEW PENEGUY	722,885	D	CARVANA CLOUD	707,964
DISTRICT JUDGE, 489TH JUDICIAL DISTRICT	R	TRACY GRAY	50,340			
DISTRICT JUDGE, 493RD JUDICIAL DISTRICT	R	CHRISTINE A. NOWAK	309,368			
DISTRICT JUDGE, 505TH JUDICIAL DISTRICT	D	KALI MORGAN	192,818			
DISTRICT JUDGE, 506TH JUDICIAL DISTRICT	R	GARY W. CHANEY	32,699			
DISTRICT JUDGE, 507TH JUDICIAL DISTRICT	D	LILLIAN HENNY ALEXANDER	734,255	R	DAN LEMKUIL	697,262
CRIMINAL DISTRICT JUDGE, DALLAS COUNTY NUMBER 2	D	ELIZABETH DAVIS FRIZELL	599,406			
CRIMINAL DISTRICT JUDGE, DALLAS COUNTY NUMBER 3	D	AUDRA LADAWN RILEY	596,475			
CRIMINAL DISTRICT JUDGE, DALLAS COUNTY NUMBER 4	D	DOMINIQUE COLLINS	598,281			
CRIMINAL DISTRICT JUDGE, EL PASO COUNTY NUMBER 1	D	DIANE  NAVARRETE	154,332			
CRIMINAL DISTRICT JUDGE #3 TARRANT COUNTY	R	DOUGLAS ALLEN	425,274	D	JOHN T. BRENDER	359,808
CRIMINAL DISTRICT JUDGE, TARRANT COUNTY NUMBER 2	R	WILLIAM KNIGHT	428,498	D	"MARQUETTA ""MARQ"" CLAYTON"	357,326
DISTRICT ATTORNEY, 1ST JUDICIAL DISTRICT	R	PAUL A. ROBBINS	7,670			
DISTRICT ATTORNEY, 2ND JUDICIAL DISTRICT	R	JONATHAN RICHEY	17,282			
DISTRICT ATTORNEY, 8TH JUDICIAL DISTRICT	R	WILL RAMSAY	21,276			
DISTRICT ATTORNEY, 9TH JUDICIAL DISTRICT	R	BRETT W LIGON	242,943			
