slider-titles	rep	col	col-auto	rep 2	col 2	col-auto 2
MEMBER, STATE BOARD OF EDUCATION, DISTRICT 12	R	PAM LITTLE	561,675	D	GEORGE KING	323,763
MEMBER, STATE BOARD OF EDUCATION, DISTRICT 13 - UNEXPIRED TERM	D	TIFFANY CLARK	414,256			
MEMBER, STATE BOARD OF EDUCATION, DISTRICT 15	R	AARON KINSEY	511,218	D	MORGAN KIRKPATRICK	137,345
STATE SENATOR, DISTRICT 6	D	CAROL ALVARADO	118,202	R	MARTHA FIERRO	69,711
STATE SENATOR, DISTRICT 7	R	PAUL BETTENCOURT	250,024	D	MICHELLE GWINN	143,741
STATE SENATOR, DISTRICT 8	R	ANGELA PAXTON	268,885	D	RACHEL MELLO	183,319
STATE SENATOR, DISTRICT 10	R	PHIL KING	227,021	D	ANDY MORRIS	140,679
STATE SENATOR, DISTRICT 12	R	TAN PARKER	275,336	D	STEPHANIE DRAPER	172,069
STATE SENATOR, DISTRICT 14	D	SARAH ECKHARDT	320,649			
STATE SENATOR, DISTRICT 15	D	MOLLY COOK	198,327	R	JOSEPH L. TRAHAN	122,719
STATE SENATOR, DISTRICT 16	D	NATHAN JOHNSON	184,283			
STATE SENATOR, DISTRICT 17	R	JOAN HUFFMAN	237,339	D	KATHY CHENG	131,975
STATE SENATOR, DISTRICT 20	D	"JUAN ""CHUY"" HINOJOSA"	178,648			
STATE SENATOR, DISTRICT 23	D	ROYCE WEST	249,516			
STATE SENATOR, DISTRICT 25	R	DONNA CAMPBELL	320,745	D	MERRIE FOX	183,437
STATE SENATOR, DISTRICT 27	R	ADAM HINOJOSA	125,875	D	MORGAN LAMANTIA	123,063
STATE SENATOR, DISTRICT 29	D	CÉSAR J. BLANCO	174,457			
STATE SENATOR, DISTRICT 30	R	BRENT HAGENBUCH	289,128	D	DALE FREY	154,986
STATE REPRESENTATIVE DISTRICT 1	R	GARY VANDEAVER	66,717			
STATE REPRESENTATIVE DISTRICT 2	R	BRENT A. MONEY	71,149	D	KRISTEN WASHINGTON	17,150
STATE REPRESENTATIVE DISTRICT 3	R	CECIL BELL JR	85,707			
STATE REPRESENTATIVE DISTRICT 4	R	KEITH BELL	60,154	D	ALEX BAR-SELA	26,167
STATE REPRESENTATIVE DISTRICT 5	R	COLE HEFNER	74,238	W	NANCY A. NICHOLS	1,086
STATE REPRESENTATIVE DISTRICT 6	R	DANIEL ALDERS	56,341	D	CODY J GRACE	22,047
STATE REPRESENTATIVE DISTRICT 7	R	JAY DEAN	58,797	D	MARLENA R. COOPER	20,327
STATE REPRESENTATIVE DISTRICT 8	R	CODY HARRIS	60,810	D	CAROLYN F. SALTER	13,915
STATE REPRESENTATIVE DISTRICT 9	R	TRENT ASHBY	73,855			
STATE REPRESENTATIVE DISTRICT 10	R	BRIAN HARRISON	68,645	W	JENNIFER BRUMMELL	886
STATE REPRESENTATIVE DISTRICT 11	R	JOANNE SHOFNER	62,289			
STATE REPRESENTATIVE DISTRICT 12	R	TREY WHARTON	64,022	D	DEE HOWARD MULLINS	19,269
STATE REPRESENTATIVE DISTRICT 13	R	ANGELIA ORR	55,240	D	ALBERT HUNTER	17,259
