United States Senator (Vote For 1),,,,,,,,,,,,,,,,,,
,,REP Ted Cruz,,,,DEM Colin Allred,,,,LIB Ted Brown,,,,Write-in,,,,
Precinct,Registered Voters,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Total
4101,4054,162,10,419,591,276,42,944,1262,22,2,32,56,0,0,0,0,1909
4106,7774,319,3,1046,1368,583,45,2326,2954,55,1,91,147,5,0,2,7,4476
4113,8249,329,11,893,1233,620,55,2298,2973,56,2,99,157,4,0,4,8,4371
4117,2111,88,3,405,496,132,18,620,770,18,0,36,54,1,0,1,2,1322
4124,3727,171,12,720,903,241,33,932,1206,46,0,54,100,2,0,0,2,2211
4141,5010,152,86,1579,1817,197,105,1519,1821,21,4,65,90,0,0,2,2,3730
4150,7895,315,26,1205,1546,490,73,2324,2887,52,0,122,174,4,0,5,9,4616
4154,5355,219,21,1060,1300,307,41,1468,1816,31,0,56,87,0,0,4,4,3207
4162,821,50,2,293,345,32,4,91,127,4,0,6,10,0,0,1,1,483
4163,1432,83,3,169,255,113,25,426,564,12,0,21,33,1,0,0,1,853
4164,1462,92,9,274,375,148,12,360,520,12,0,21,33,1,0,1,2,930
4167,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2
4170,694,40,1,110,151,66,4,206,276,10,0,15,25,0,0,0,0,452
4173,1261,49,2,228,279,80,12,277,369,8,0,23,31,1,0,1,2,681
Total:,558362,21110,2891,135224,159225,28620,6227,150694,185541,2774,96,6731,9601,120,11,248,379,354746
